COVID-Associated Hospitalizations Percent (data downloaded on 5/10/2020)
YEAR,WEEK_NUMBER,0-4 YR,5-17 YR,18-49 YR,50-64 YR,65+ YR
2020,2020-10,0.0,0.0,25.0,12.5,62.5
2020,2020-11,0.0,0.5,23.5,34.3,41.7
2020,2020-12,0.0,0.5,25.5,30.3,43.8
2020,2020-13,0.3,0.2,24.3,31.8,43.4
2020,2020-14,0.3,0.3,20.4,32.7,46.4
2020,2020-15,0.3,0.3,20.2,30.8,48.5
2020,2020-16,0.3,0.2,22.6,28.9,48.0
2020,2020-17,0.3,0.5,25.7,26.5,47.0
2020,2020-18,0.3,0.6,25.6,29.3,44.3
2020,2020-19,0.0,0.0,0.0,0.0,0.0
2020,2020-20,0.0,0.0,0.0,0.0,0.0
