https://www.cdc.gov/coronavirus/2019-ncov/covid-data/covidview/index.html,,,,,,,,,,,,,,,,,,,
"U.S. State and Local Public Health Laboratories Reporting to CDC
March 1, 2020 - May 2, 2020
Data as of May 7, 2020",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,
Week,No. of Labs,Total  (includes age unknown),,,0-4 years,,,5-17 years,,,18-49 years,,,50-64 years,,,65+ years,,
,,Spec Tested,# Pos,% Pos,Spec Test-ed,# Pos,% Pos,Spec Test-ed,# Pos,% Pos,Spec Test-ed,# Pos,% Pos,Spec Test-ed,# Pos,% Pos,Spec Tested,# Pos,% Pos
202010,76,"8,397","1,022",12.2,207,10,4.8,558,39,7.0,"2,927",294,10.0,"1,800",238,13.2,"1,915",298,15.6
202011,83,"36,444","3,685",10.1,922,19,2.1,"1,866",78,4.2,"14,732","1,293",8.8,"7,876",922,11.7,"7,365",877,11.9
202012,84,"70,461","6,993",9.9,"1,490",33,2.2,"2,239",81,3.6,"30,535","2,564",8.4,"15,339","1,748",11.4,"15,390","2,026",13.2
202013,85,"67,144","11,001",16.4,"1,158",46,4.0,"1,345",78,5.8,"27,614","3,605",13.1,"14,379","2,770",19.3,"16,459","3,672",22.3
202014,85,"79,891","14,334",17.9,"1,048",58,5.5,"1,382",160,11.6,"32,326","4,216",13.0,"17,526","3,463",19.8,"20,968","5,329",25.4
202015,84,"82,912","15,366",18.5,842,37,4.4,"1,518",154,10.1,"32,161","4,027",12.5,"18,369","3,376",18.4,"22,923","6,259",27.3
202016,83,"79,324","15,459",19.5,640,59,9,"1,069",118,11.0,"30,890","4,909",15.9,"16,944","3,066",18.1,"23,365","5,920",25.3
202017,79,"120,914","21,379",17.7,740,47,6.4,"2,252",315,14.0,"49,331","8,170",16.6,"26,778","4,470",16.7,"34,445","7,019",20.4
202018,78,"131,001","17,290",13.2,906,84,9.3,"3,098",387,12.5,"54,092","6,737",12.5,"28,673","3,499",12.2,"36,132","5,409",15.0
Total,," 676,488 "," 106,529 ",15.7," 7,953 ",393,4.9,"15,327","1,410",9.2,"274,608","35,815",13.0,"147,684","23,552",15.9,"178,962","36,809",20.6
,,,,,,,,,,,,,,,,,,,
"Region 1 (CT, ME, MA, NH, RI, VT)",,,,,,,,,,,,,,,,,,,
